sex,age,attribute,score,t_score
f,8,total,150,90
f,8,total,149,90
f,8,total,148,90
f,8,total,147,90
f,8,total,146,90
f,8,total,145,90
f,8,total,144,90
f,8,total,143,90
f,8,total,142,90
f,8,total,141,90
f,8,total,140,90
f,8,total,139,90
f,8,total,138,90
f,8,total,137,90
f,8,total,136,90
f,8,total,135,90
f,8,total,134,90
f,8,total,133,90
f,8,total,132,90
f,8,total,131,89
f,8,total,130,89
f,8,total,129,88
f,8,total,128,88
f,8,total,127,87
f,8,total,126,87
f,8,total,125,86
f,8,total,124,86
f,8,total,123,85
f,8,total,122,85
f,8,total,121,84
f,8,total,120,83
f,8,total,119,83
f,8,total,118,82
f,8,total,117,82
f,8,total,116,81
f,8,total,115,81
f,8,total,114,80
f,8,total,113,80
f,8,total,112,79
f,8,total,111,79
f,8,total,110,78
f,8,total,109,78
f,8,total,108,77
f,8,total,107,77
f,8,total,106,76
f,8,total,105,76
f,8,total,104,75
f,8,total,103,75
f,8,total,102,74
f,8,total,101,74
f,8,total,100,73
f,8,total,99,73
f,8,total,98,72
f,8,total,97,72
f,8,total,96,71
f,8,total,95,70
f,8,total,94,70
f,8,total,93,69
f,8,total,92,69
f,8,total,91,68
f,8,total,90,68
f,8,total,89,67
f,8,total,88,67
f,8,total,87,66
f,8,total,86,66
f,8,total,85,65
f,8,total,84,65
f,8,total,83,64
f,8,total,82,64
f,8,total,81,63
f,8,total,80,63
f,8,total,79,62
f,8,total,78,62
f,8,total,77,61
f,8,total,76,61
f,8,total,75,60
f,8,total,74,60
f,8,total,73,59
f,8,total,72,59
f,8,total,71,58
f,8,total,70,58
f,8,total,69,57
f,8,total,68,56
f,8,total,67,56
f,8,total,66,55
f,8,total,65,55
f,8,total,64,54
f,8,total,63,54
f,8,total,62,53
f,8,total,61,53
f,8,total,60,52
f,8,total,59,52
f,8,total,58,51
f,8,total,57,51
f,8,total,56,50
f,8,total,55,50
f,8,total,54,49
f,8,total,53,49
f,8,total,52,48
f,8,total,51,48
f,8,total,50,47
f,8,total,49,47
f,8,total,48,46
f,8,total,47,46
f,8,total,46,45
f,8,total,45,45
f,8,total,44,44
f,8,total,43,43
f,8,total,42,43
f,8,total,41,42
f,8,total,40,42
f,8,total,39,41
f,8,total,38,41
f,8,total,37,40
f,8,total,36,40
f,8,total,35,40
f,8,total,34,40
f,8,total,33,40
f,8,total,32,40
f,8,total,31,40
f,8,total,30,40
f,8,total,29,40
f,8,total,28,40
f,8,total,27,40
f,8,total,26,40
f,8,total,25,40
f,8,total,24,40
f,8,total,23,40
f,8,total,22,40
f,8,total,21,40
f,8,total,20,40
f,8,total,19,40
f,8,total,18,40
f,8,total,17,40
f,8,total,16,40
f,8,total,15,40
f,8,total,14,40
f,8,total,13,40
f,8,total,12,40
f,8,total,11,40
f,8,total,10,40
f,8,total,9,40
f,8,total,8,40
f,8,total,7,40
f,8,total,6,40
f,8,total,5,40
f,8,total,4,40
f,8,total,3,40
f,8,total,2,40
f,8,total,1,40
f,8,total,0,40
f,9,total,150,90
f,9,total,149,90
f,9,total,148,90
f,9,total,147,90
f,9,total,146,90
f,9,total,145,90
f,9,total,144,90
f,9,total,143,90
f,9,total,142,90
f,9,total,141,90
f,9,total,140,90
f,9,total,139,90
f,9,total,138,90
f,9,total,137,90
f,9,total,136,90
f,9,total,135,90
f,9,total,134,90
f,9,total,133,90
f,9,total,132,90
f,9,total,131,89
f,9,total,130,89
f,9,total,129,88
f,9,total,128,88
f,9,total,127,87
f,9,total,126,87
f,9,total,125,86
f,9,total,124,86
f,9,total,123,85
f,9,total,122,85
f,9,total,121,84
f,9,total,120,83
f,9,total,119,83
f,9,total,118,82
f,9,total,117,82
f,9,total,116,81
f,9,total,115,81
f,9,total,114,80
f,9,total,113,80
f,9,total,112,79
f,9,total,111,79
f,9,total,110,78
f,9,total,109,78
f,9,total,108,77
f,9,total,107,77
f,9,total,106,76
f,9,total,105,76
f,9,total,104,75
f,9,total,103,75
f,9,total,102,74
f,9,total,101,74
f,9,total,100,73
f,9,total,99,73
f,9,total,98,72
f,9,total,97,72
f,9,total,96,71
f,9,total,95,70
f,9,total,94,70
f,9,total,93,69
f,9,total,92,69
f,9,total,91,68
f,9,total,90,68
f,9,total,89,67
f,9,total,88,67
f,9,total,87,66
f,9,total,86,66
f,9,total,85,65
f,9,total,84,65
f,9,total,83,64
f,9,total,82,64
f,9,total,81,63
f,9,total,80,63
f,9,total,79,62
f,9,total,78,62
f,9,total,77,61
f,9,total,76,61
f,9,total,75,60
f,9,total,74,60
f,9,total,73,59
f,9,total,72,59
f,9,total,71,58
f,9,total,70,58
f,9,total,69,57
